in_window;1;;;;;;
;;;;;;;
house;candidate;n_polls;sum_w_delta;sum_w;bias_raw;shrink_facto;house_bias_logit
Activa;Eduardo Artés;2;-5,631460881;15,77307451;-0,357030006;0,4;-0,142812002
Activa;Evelyn Matthei;2;-2,038857897;15,77307451;-0,12926192;0,4;-0,051704768
Activa;Franco Parisi;2;9,449940455;15,77307451;0,599118482;0,4;0,239647393
Activa;Harold Mayne-Nicholls;2;5,35157329;15,77307451;0,339285362;0,4;0,135714145
Activa;Jeannette Jara;2;-1,610632985;15,77307451;-0,102112812;0,4;-0,040845125
Activa;Johannes Kaiser;2;-4,533885445;15,77307451;-0,287444622;0,4;-0,114977849
Activa;José Antonio Kast;2;-0,253914554;15,77307451;-0,016097975;0,4;-0,00643919
Activa;Marcos Enríquez-Ominami;2;13,14773155;15,77307451;0,833555408;0,4;0,333422163
Atlas;Eduardo Artés;1;-39,55326332;15,45290927;-2,559599791;0,25;-0,639899948
Atlas;Evelyn Matthei;1;-1,173992275;15,45290927;-0,075972249;0,25;-0,018993062
Atlas;Franco Parisi;1;7,848348218;15,45290927;0,507888067;0,25;0,126972017
Atlas;Harold Mayne-Nicholls;1;-5,931802659;15,45290927;-0,383863165;0,25;-0,095965791
Atlas;Jeannette Jara;1;1,877691874;15,45290927;0,121510574;0,25;0,030377643
Atlas;Johannes Kaiser;1;0,581220586;15,45290927;0,037612373;0,25;0,009403093
Atlas;José Antonio Kast;1;-4,08365285;15,45290927;-0,264264339;0,25;-0,066066085
Atlas;Marcos Enríquez-Ominami;1;-3,083196837;15,45290927;-0,199522095;0,25;-0,049880524
Cadem;Eduardo Artés;2;1,463898786;10,84808091;0,134945416;0,4;0,053978166
Cadem;Evelyn Matthei;2;-0,329157149;10,84808091;-0,030342431;0,4;-0,012136973
Cadem;Franco Parisi;2;2,803661256;10,84808091;0,258447672;0,4;0,103379069
Cadem;Harold Mayne-Nicholls;2;5,941176892;10,84808091;0,547670776;0,4;0,219068311
Cadem;Jeannette Jara;2;-1,304718115;10,84808091;-0,120271791;0,4;-0,048108716
Cadem;Johannes Kaiser;2;-1,975749772;10,84808091;-0,182128967;0,4;-0,072851587
Cadem;José Antonio Kast;2;1,418892196;10,84808091;0,130796609;0,4;0,052318644
Cadem;Marcos Enríquez-Ominami;2;-1,221734397;10,84808091;-0,112622169;0,4;-0,045048867
Criteria;Eduardo Artés;1;0,796429645;8,201050031;0,097113131;0,25;0,024278283
Criteria;Evelyn Matthei;1;-0,107847799;8,201050031;-0,013150487;0,25;-0,003287622
Criteria;Franco Parisi;1;-0,21007144;8,201050031;-0,025615188;0,25;-0,006403797
Criteria;Harold Mayne-Nicholls;1;4,099334585;8,201050031;0,499854844;0,25;0,124963711
Criteria;Jeannette Jara;1;-1,187835805;8,201050031;-0,144839478;0,25;-0,036209869
Criteria;Johannes Kaiser;1;-0,48177491;8,201050031;-0,058745515;0,25;-0,014686379
Criteria;José Antonio Kast;1;1,85756916;8,201050031;0,22650382;0,25;0,056625955
Criteria;Marcos Enríquez-Ominami;1;4,963899504;8,201050031;0,605276091;0,25;0,151319023
Datarev;Eduardo Artés;2;25,4138577;32,09667099;0,791791078;0,4;0,316716431
Datarev;Evelyn Matthei;2;-3,371882561;32,09667099;-0,105053965;0,4;-0,042021586
Datarev;Franco Parisi;2;-8,225274809;32,09667099;-0,256265667;0,4;-0,102506267
Datarev;Harold Mayne-Nicholls;2;-22,5135619;32,09667099;-0,701429812;0,4;-0,280571925
Datarev;Jeannette Jara;2;5,533062192;32,09667099;0,172387417;0,4;0,068954967
Datarev;Johannes Kaiser;2;6,61697001;32,09667099;0,206157517;0,4;0,082463007
Datarev;José Antonio Kast;2;-3,215999451;32,09667099;-0,10019729;0,4;-0,040078916
Datarev;Marcos Enríquez-Ominami;2;3,159036579;32,09667099;0,098422562;0,4;0,039369025
LCN;Eduardo Artés;3;-8,027923193;21,60249521;-0,371620182;0,5;-0,185810091
LCN;Evelyn Matthei;3;3,96395003;21,60249521;0,183495008;0,5;0,091747504
LCN;Franco Parisi;3;-19,50373719;21,60249521;-0,9028465;0,5;-0,45142325
LCN;Harold Mayne-Nicholls;3;7,362460882;21,60249521;0,3408153;0,5;0,17040765
LCN;Jeannette Jara;3;2,583231042;21,60249521;0,119580216;0,5;0,059790108
LCN;Johannes Kaiser;3;4,888027472;21,60249521;0,22627143;0,5;0,113135715
LCN;José Antonio Kast;3;-1,760287022;21,60249521;-0,081485356;0,5;-0,040742678
LCN;Marcos Enríquez-Ominami;3;-14,41548588;21,60249521;-0,667306519;0,5;-0,33365326
UDD;Eduardo Artés;2;4,749928372;28,39541315;0,167278016;0,4;0,066911206
UDD;Evelyn Matthei;2;3,148928535;28,39541315;0,110895676;0,4;0,04435827
UDD;Franco Parisi;2;6,262044769;28,39541315;0,220530152;0,4;0,088212061
UDD;Harold Mayne-Nicholls;2;2,698219832;28,39541315;0,095023088;0,4;0,038009235
UDD;Jeannette Jara;2;-5,449906059;28,39541315;-0,191929099;0,4;-0,07677164
UDD;Johannes Kaiser;2;-4,273535558;28,39541315;-0,150500911;0,4;-0,060200365
UDD;José Antonio Kast;2;5,976817267;28,39541315;0,210485307;0,4;0,084194123
UDD;Marcos Enríquez-Ominami;2;-3,466244555;28,39541315;-0,12207058;0,4;-0,048828232
