LAMBDA,K,leader,p_win_blend_pct
0.3,1000,Johannes Kaiser,56.0
0.3,2000,Johannes Kaiser,56.0
0.3,3000,Johannes Kaiser,56.0
0.3,4000,Johannes Kaiser,56.0
0.3,4000,Johannes Kaiser,56.0
0.4,1000,Johannes Kaiser,48.0
0.4,2000,Johannes Kaiser,48.0
0.4,3000,Johannes Kaiser,48.0
0.4,4000,Johannes Kaiser,48.0
0.4,4000,Johannes Kaiser,48.0
0.5,1000,Jeannette Jara,52.65
0.5,2000,Jeannette Jara,52.65
0.5,3000,Jeannette Jara,52.65
0.5,4000,Jeannette Jara,52.65
0.5,4000,Jeannette Jara,52.65
0.6,1000,Jeannette Jara,62.12
0.6,2000,Jeannette Jara,62.12
0.6,3000,Jeannette Jara,62.12
0.6,4000,Jeannette Jara,62.12
0.6,4000,Jeannette Jara,62.12
0.7,1000,Jeannette Jara,71.59
0.7,2000,Jeannette Jara,71.59
0.7,3000,Jeannette Jara,71.59
0.7,4000,Jeannette Jara,71.59
0.7,4000,Jeannette Jara,71.59
0.8,1000,Jeannette Jara,81.06
0.8,2000,Jeannette Jara,81.06
0.8,3000,Jeannette Jara,81.06
0.8,4000,Jeannette Jara,81.06
0.8,4000,Jeannette Jara,81.06
