LAMBDA;K;leader;p_win_blend_pct
0,300000;1000,000000;Johannes Kaiser;56,000000
0,300000;2000,000000;Johannes Kaiser;56,000000
0,300000;3000,000000;Johannes Kaiser;56,000000
0,300000;4000,000000;Johannes Kaiser;56,000000
0,300000;4000,000000;Johannes Kaiser;56,000000
0,400000;1000,000000;Johannes Kaiser;48,000000
0,400000;2000,000000;Johannes Kaiser;48,000000
0,400000;3000,000000;Johannes Kaiser;48,000000
0,400000;4000,000000;Johannes Kaiser;48,000000
0,400000;4000,000000;Johannes Kaiser;48,000000
0,500000;1000,000000;Jeannette Jara;52,650000
0,500000;2000,000000;Jeannette Jara;52,650000
0,500000;3000,000000;Jeannette Jara;52,650000
0,500000;4000,000000;Jeannette Jara;52,650000
0,500000;4000,000000;Jeannette Jara;52,650000
0,600000;1000,000000;Jeannette Jara;62,120000
0,600000;2000,000000;Jeannette Jara;62,120000
0,600000;3000,000000;Jeannette Jara;62,120000
0,600000;4000,000000;Jeannette Jara;62,120000
0,600000;4000,000000;Jeannette Jara;62,120000
0,700000;1000,000000;Jeannette Jara;71,590000
0,700000;2000,000000;Jeannette Jara;71,590000
0,700000;3000,000000;Jeannette Jara;71,590000
0,700000;4000,000000;Jeannette Jara;71,590000
0,700000;4000,000000;Jeannette Jara;71,590000
0,800000;1000,000000;Jeannette Jara;81,060000
0,800000;2000,000000;Jeannette Jara;81,060000
0,800000;3000,000000;Jeannette Jara;81,060000
0,800000;4000,000000;Jeannette Jara;81,060000
0,800000;4000,000000;Jeannette Jara;81,060000
